Raison sociale,APE(NAF) associé,Libellé,salaries,Année de reporting,scope1,scope2,scope3
INGENERIA,7022Z,Conseil pour les affaires et autres conseils de gestion,4,2025,0.0,1.0,0.0
Maltese Technologies,7022Z,Conseil pour les affaires et autres conseils de gestion,5,2025,0.01,0.0,0.0
Ekho,7022Z,Conseil pour les affaires et autres conseils de gestion,6,2025,0.0,1.38,0.0
Conseil Formation Méditerranée,7022Z,Conseil pour les affaires et autres conseils de gestion,11,2025,0.0,2.76,0.0
CIRTES SRC,7490B,"Activités spécialisées, scientifiques et techniques diverses",21,2025,49.79,13.3794126,1.5232787342548
AQUASSAY,7112B,"Ingénierie, études techniques",24,2025,0.0,1.0,0.0
Humans Matter,7022Z,Conseil pour les affaires et autres conseils de gestion,61,2025,0.0,9.0,0.0
TASMANE,7022Z,Conseil pour les affaires et autres conseils de gestion,63,2025,0.0,1.0,0.0
Sol Solution,7112B,"Ingénierie, études techniques",90,2025,9.3,0.0,1.2
SAFEGE,7112B,"Ingénierie, études techniques",817,2025,0.0,39.165728065066,0.0
Adret DuNum,7022Z,Conseil pour les affaires et autres conseils de gestion,1,2024,0.0,0.45,0.0
GENEOMAT,7022Z,Conseil pour les affaires et autres conseils de gestion,1,2024,0.0,0.03,0.0
PREVENTION COORDINATION ASSISTANCE,7112B,"Ingénierie, études techniques",2,2024,0.0,0.12,0.0
aSpark consulting,7022Z,Conseil pour les affaires et autres conseils de gestion,3,2024,0.54,0.2,0.0
BETEM CENTRE,7112B,"Ingénierie, études techniques",4,2024,0.0,0.48,0.0
Come2Mind Consulting,7022Z,Conseil pour les affaires et autres conseils de gestion,5,2024,0.0,0.09,0.0
EQUALITYS,7022Z,Conseil pour les affaires et autres conseils de gestion,5,2024,0.0,0.18,0.0
VERACY,7022Z,Conseil pour les affaires et autres conseils de gestion,6,2024,0.0,0.62314875,0.0
Daily d'initiés,7112B,"Ingénierie, études techniques",7,2024,0.0,0.01,0.0
BETEM GUYANE,7112B,"Ingénierie, études techniques",7,2024,0.0,0.27,0.0
BETEM RHÔNE ALPES,7112B,"Ingénierie, études techniques",8,2024,0.0,0.03,0.0
G.A.E Conseil,7490B,"Activités spécialisées, scientifiques et techniques diverses",9,2024,1.98,0.43,0.0
BETEM AQUITAINE,7112B,"Ingénierie, études techniques",10,2024,0.0,0.5,0.0
TRANSITION INGENIERIE,7112B,"Ingénierie, études techniques",10,2024,0.0,0.4,0.0
BETEM ATLANTIQUE,7112B,"Ingénierie, études techniques",12,2024,0.0,0.0,0.0
ADDEXPERT,7022Z,Conseil pour les affaires et autres conseils de gestion,12,2024,22.0,2.0,0.0
BETEM XD,7112B,"Ingénierie, études techniques",15,2024,0.0,0.0,0.0
SOLAIS,7112B,"Ingénierie, études techniques",15,2024,0.0,0.42,0.0
SCOP EcoZimut,7112B,"Ingénierie, études techniques",16,2024,0.0,1.0,0.0
INFRAMAP,7112B,"Ingénierie, études techniques",16,2024,0.0,0.38,0.0
CABINET RACINE,7112B,"Ingénierie, études techniques",16,2024,0.0,0.89,0.0
Audit Process,7112B,"Ingénierie, études techniques",20,2024,0.0,0.586338,0.0
EGE,7112B,"Ingénierie, études techniques",23,2024,0.0,1.0977628,0.0
Auvalie Innovation ,7022Z,Conseil pour les affaires et autres conseils de gestion,23,2024,0.0,0.71,0.02
C-WAYS,7022Z,Conseil pour les affaires et autres conseils de gestion,24,2024,4.4988236486486,0.1713506,0.0
GEVOLYS,7112B,"Ingénierie, études techniques",25,2024,0.0,1.0,0.0
Groupe CSD,7112B,"Ingénierie, études techniques",25,2024,0.0,3.0,0.0
NOREA CONSULTING,7022Z,Conseil pour les affaires et autres conseils de gestion,25,2024,0.0,0.0,0.0
TESORA,7490B,"Activités spécialisées, scientifiques et techniques diverses",25,2024,7.86,0.4,1.76
BETEM INFRA,7112B,"Ingénierie, études techniques",25,2024,0.0,0.0,0.0
AKTEO SAS,7112B,"Ingénierie, études techniques",26,2024,1.23,0.41,0.0
BETEM ILE DE FRANCE,7112B,"Ingénierie, études techniques",26,2024,0.0,0.0,0.0
BETEM LANGUEDOC ROUSSILLON,7112B,"Ingénierie, études techniques",30,2024,0.0,1.5096504,0.0
AD2i Ingénierie,7112B,"Ingénierie, études techniques",32,2024,0.0,0.57,0.0
LBY MECA,7112B,"Ingénierie, études techniques",33,2024,8.1,14.2,17.6
SOCIALY,7022Z,Conseil pour les affaires et autres conseils de gestion,37,2024,8.0,1.0,0.0
BETEM PACA,7112B,"Ingénierie, études techniques",38,2024,0.0,5.2182936,0.0
Primum non nocere,7022Z,Conseil pour les affaires et autres conseils de gestion,42,2024,2.89,0.3122844,0.03046291
BETEM INGENIERIE,7112B,"Ingénierie, études techniques",46,2024,0.0,1.100048,0.0
REDBRIDGE FRANCE SAS,7022Z,Conseil pour les affaires et autres conseils de gestion,47,2024,0.0,13013.0,0.0
DERICHEBOURG FM (DERICHEBOURG FM),7022Z,Conseil pour les affaires et autres conseils de gestion,47,2024,0.0,287.6,26.5
EKNO,7022Z,Conseil pour les affaires et autres conseils de gestion,48,2024,0.0,17.0,0.0
OPENR SAS,7490B,"Activités spécialisées, scientifiques et techniques diverses",49,2024,122.0,1.0,0.0
BETEM SAS,7112B,"Ingénierie, études techniques",50,2024,0.0,1.8193228682927,0.0
iTekway Occitanie,7112B,"Ingénierie, études techniques",50,2024,0.28,0.28,0.0
Avencore,7022Z,Conseil pour les affaires et autres conseils de gestion,55,2024,0.1,0.0,0.0
ISALYS CONSULTING FRANCE,7112B,"Ingénierie, études techniques",68,2024,0.0,0.4,0.0
Investance Partners,7022Z,Conseil pour les affaires et autres conseils de gestion,70,2024,0.0,0.14,0.0
EURAILSCOUT FRANCE,7490B,"Activités spécialisées, scientifiques et techniques diverses",71,2024,0.0,3.0,87.0
CMULTISERV,7022Z,Conseil pour les affaires et autres conseils de gestion,72,2024,0.0,1.167,5.752
TÜV SÜD France,7120B,"Analyses, essais et inspections techniques",75,2024,0.0,4.4,0.0
OXYGEN,7022Z,Conseil pour les affaires et autres conseils de gestion,83,2024,8.44,0.41,0.0
THINKMARKET,7022Z,Conseil pour les affaires et autres conseils de gestion,85,2024,0.0,0.32,0.07
Envol Environnement,7490B,"Activités spécialisées, scientifiques et techniques diverses",100,2024,3.39,0.69,0.21
Envol Environnement,7490B,"Activités spécialisées, scientifiques et techniques diverses",100,2024,3.39,0.69,0.21
IQO,7022Z,Conseil pour les affaires et autres conseils de gestion,105,2024,0.0,1.0,0.0
Groupe Référence,7022Z,Conseil pour les affaires et autres conseils de gestion,116,2024,15.0,1.0,0.0
Alltech Consulting,7490B,"Activités spécialisées, scientifiques et techniques diverses",138,2024,0.0,0.53,0.0
Azaleo SAS,7112B,"Ingénierie, études techniques",140,2024,0.0,2.0,1.3
ENERFLUX,7112B,"Ingénierie, études techniques",180,2024,66.0,77.0,142.0
BEELIX,7022Z,Conseil pour les affaires et autres conseils de gestion,185,2024,0.0,2.0,0.0
EXTIA INGENIERIE SAS,7112B,"Ingénierie, études techniques",328,2024,0.0,19.0,0.0
Eurogroup Consulting,7022Z,Conseil pour les affaires et autres conseils de gestion,328,2024,0.0,13.0,0.0
PRODEVAL,7112B,"Ingénierie, études techniques",380,2024,7.8,37.0,1250.0
GROUPE PROJEX,7112B,"Ingénierie, études techniques",450,2024,1.93,12.4,0.0
Julhiet Sterwen Group,7022Z,Conseil pour les affaires et autres conseils de gestion,554,2024,0.0,7.0,0.0
Prime Engineering,7112B,"Ingénierie, études techniques",619,2024,0.0,6.7,0.3
EXCENT FRANCE,7112B,"Ingénierie, études techniques",652,2024,23.12,42.56,114.82
ECOCERT SA,7120B,"Analyses, essais et inspections techniques",778,2024,0.0,12.1,90.4
OTEIS,7112B,"Ingénierie, études techniques",800,2024,0.0,18.0,0.0
INSTITUT TECHNIQUE GAZ ET AIR,7490B,"Activités spécialisées, scientifiques et techniques diverses",805,2024,0.0,289.0,111.0
CARSO - LABORATOIRE SANTE ENVIRONNEMENT HYGIENE DE LYON,7120B,"Analyses, essais et inspections techniques",890,2024,3.0,322.0,1441.0
BUREAU ALPES CONTROLES,7120B,"Analyses, essais et inspections techniques",907,2024,25.0,63.0,2.0
BEE ENGINEERING,7112B,"Ingénierie, études techniques",951,2024,0.0,3.0,0.0
BERTRANDT,7112B,"Ingénierie, études techniques",970,2024,31.52,7.44,0.0
revalueSystems,7490B,"Activités spécialisées, scientifiques et techniques diverses",1,2023,0.09,0.0,0.0
TRANSYLIENCE,7490B,"Activités spécialisées, scientifiques et techniques diverses",3,2023,0.0,0.0,0.0
Alryus,7112B,"Ingénierie, études techniques",5,2023,0.0,1.06,2.69
CFERM,7112B,"Ingénierie, études techniques",8,2023,2.32,0.13,0.0
AZOCO2,7490B,"Activités spécialisées, scientifiques et techniques diverses",9,2023,2.57,0.23,0.0
L2B INGENIERIE,7112B,"Ingénierie, études techniques",11,2023,0.0,0.0,0.0
Bureau Etude Infrastructures,7112B,"Ingénierie, études techniques",11,2023,0.0,0.36,0.0
ENVIROEARTH,7112B,"Ingénierie, études techniques",14,2023,0.0,2.0,0.0
sky consulting,7022Z,Conseil pour les affaires et autres conseils de gestion,18,2023,0.0,1.23,0.0
SOCONER,7112B,"Ingénierie, études techniques",19,2023,0.0,0.58,0.06
KEOPS CONCEPTION,7112B,"Ingénierie, études techniques",24,2023,0.0,2.48,0.0
C-WAYS,7022Z,Conseil pour les affaires et autres conseils de gestion,24,2023,4.4988236486486,0.18861245,0.0
Kalixia,7022Z,Conseil pour les affaires et autres conseils de gestion,27,2023,0.0,1.0,1.0
Mipise,7022Z,Conseil pour les affaires et autres conseils de gestion,28,2023,2.1,0.3,0.0
ATEL CONCEP ETUDE RESEAUX SEC ECL PUBLIC (ACERE),7112B,"Ingénierie, études techniques",28,2023,0.0,1.0,0.0
EXPLORAIR,7112B,"Ingénierie, études techniques",28,2023,0.0,3.0,0.0
SOCIALY,7022Z,Conseil pour les affaires et autres conseils de gestion,35,2023,5.9,0.6,0.0
PROMETHEE EARTH INTELLIGENCE,7112B,"Ingénierie, études techniques",35,2023,0.0,1.0,1.0
abcdomus,7112B,"Ingénierie, études techniques",42,2023,6147.0,627.0,0.0
AKTEHOM,7022Z,Conseil pour les affaires et autres conseils de gestion,51,2023,0.0,3.0,0.0
Conseil pour les affaires et autres conseils de gestion,7022Z,Conseil pour les affaires et autres conseils de gestion,55,2023,0.0,0.0,0.0
cg2i,7112B,"Ingénierie, études techniques",70,2023,0.0,3.0,49.0
CGX AERO,7112B,"Ingénierie, études techniques",70,2023,0.0,4730.0,1864.0
ELEMENTS SAS,7112B,"Ingénierie, études techniques",75,2023,0.0,14.0,121.0
RA Expansion,7022Z,Conseil pour les affaires et autres conseils de gestion,83,2023,4.0,8.0,0.0
ISEA SA,7022Z,Conseil pour les affaires et autres conseils de gestion,91,2023,0.0,3.6,0.0
MOSS SAS,7490B,"Activités spécialisées, scientifiques et techniques diverses",120,2023,0.0,16.0,0.0
Pingat Ingénierie,7112B,"Ingénierie, études techniques",130,2023,349.0,8.0,0.0
JPB SYSTEME,7112B,"Ingénierie, études techniques",133,2023,13.92,370.42,3.22
HISA INGENIERIE,7112B,"Ingénierie, études techniques",140,2023,10.0,3.0,0.0
Arverne Group,7490B,"Activités spécialisées, scientifiques et techniques diverses",142,2023,889.7,14.82,56.72
STUDIEL,7112B,"Ingénierie, études techniques",150,2023,2876.0,5330.0,4777.0
Oméa,7112B,"Ingénierie, études techniques",200,2023,0.0,1.0,0.0
EVERAXIS SAS,7022Z,Conseil pour les affaires et autres conseils de gestion,306,2023,141.0,38.0,56.0
EXTIA INGENIERIE SAS,7112B,"Ingénierie, études techniques",338,2023,32.0,22.0,0.0
OTV,7112B,"Ingénierie, études techniques",523,2023,145.0,920.0,26.0
Croissance bleue,7022Z,Conseil pour les affaires et autres conseils de gestion,3,2022,0.0,0.31,0.0
C-WAYS,7022Z,Conseil pour les affaires et autres conseils de gestion,19,2022,4.44,0.21221893333333,0.0
CLF,7112B,"Ingénierie, études techniques",286,2022,0.0,34.67,193.72
ENGIE GREEN FRANCE,7022Z,Conseil pour les affaires et autres conseils de gestion,635,2022,0.0,12.0,0.0
BUREAU ALPES CONTROLES,7120B,"Analyses, essais et inspections techniques",609,2021,17.0,79.0,2.0
